user_id,timestamp,page,device_type,purchase_amount
user_36,07-02-2025 03:16,home,desktop,
user_30,11-01-2025 16:36,product,,187.2
user_33,06-03-2025 04:59,cart,,168.6
user_16,11-02-2025 13:51,product,,
user_5,26-01-2025 03:28,checkout,tablet,187.51
user_1,26-01-2025 17:52,cart,,174.4
user_35,14-02-2025 02:03,cart,tablet,114.86
user_30,30-01-2025 06:56,product,desktop,
user_50,07-02-2025 09:21,home,tablet,151.49
user_25,02-03-2025 09:51,product,,
user_33,23-02-2025 17:16,cart,mobile,176.1
user_7,17-02-2025 20:57,checkout,mobile,147.26
user_42,15-01-2025 01:12,home,,158.49
user_22,26-02-2025 17:31,checkout,mobile,171.84
user_21,27-02-2025 01:15,checkout,mobile,
user_41,04-03-2025 07:05,cart,desktop,151.89
user_7,11-03-2025 05:03,home,,41.61
user_2,05-01-2025 04:28,cart,mobile,65.74
user_28,14-01-2025 06:00,product,,
user_11,16-01-2025 22:26,home,,
user_32,23-02-2025 01:55,product,desktop,97.62
user_30,24-01-2025 05:46,home,,
user_5,10-02-2025 04:58,cart,tablet,131.4
user_45,23-01-2025 18:20,checkout,tablet,47.85
user_31,10-01-2025 16:59,product,,118.67
user_45,27-01-2025 20:56,home,,
user_39,09-03-2025 19:51,checkout,tablet,
user_39,02-02-2025 01:39,product,desktop,
user_41,09-01-2025 20:15,home,tablet,
user_38,03-02-2025 05:03,product,mobile,182.83
user_48,07-02-2025 19:40,product,desktop,35.11
user_34,15-02-2025 16:11,cart,desktop,58.82
user_19,09-03-2025 22:53,cart,mobile,
user_10,10-03-2025 15:28,product,,193.78
user_6,05-02-2025 21:57,home,tablet,111.95
user_24,03-03-2025 05:48,cart,,166.26
user_7,03-03-2025 10:12,product,,14.75
user_40,21-01-2025 03:35,home,,182.78
user_42,07-02-2025 03:56,home,desktop,
user_20,14-02-2025 20:09,home,mobile,
user_25,11-02-2025 06:59,cart,,
user_27,01-03-2025 14:41,home,,126.97
user_3,04-03-2025 19:56,cart,desktop,
user_24,10-01-2025 01:02,cart,tablet,21.5
user_13,12-01-2025 02:51,checkout,mobile,
user_4,31-01-2025 08:33,product,desktop,
user_5,20-02-2025 10:41,product,desktop,
user_22,14-01-2025 10:20,home,tablet,
user_9,19-02-2025 04:07,cart,desktop,
user_9,02-01-2025 08:27,cart,desktop,
user_12,25-01-2025 03:42,home,desktop,
user_48,06-01-2025 18:50,checkout,,
